title,price,rating,reviews,availability,sales
PG65 | 2024 | All-Day Battery | GSM Unlocked | 6.5” Display | 4/64GB | 3000mAh | US Version | US Warranty | Black,59.99,Not Rated,No Reviews,In Stock,200+ bought in past month
Moto G Play 2023 3-Day Battery Unlocked Made for US 3/32GB 16MP Camera Navy Blue,199.00,Not Rated,"1,617 ratings",,Not Available
"Samsung Galaxy S24 Ultra Cell Phone, 256GB AI Smartphone, Unlocked Android, 200MP, 100x Zoom Cameras, Fast Processor, Long Battery Life, Edge-to-Edge Display, S Pen, US Version, 2024, Titanium Black",25.98,Not Rated,"3,598 ratings",,Not Available
"Motorola Moto G Stylus 5G | 2023 | Unlocked | Made for US 6/256GB | 50 MPCamera | Cosmic Black, 162.83x73.77x9.29",199.00,Not Rated,666 ratings,,Not Available
Moto G Power 5G | 2024 | Unlocked | Made for US 8/128GB | 50MP Camera | Midnight Blue,19.99,Not Rated,"1,106 ratings",,Not Available
"SAMSUNG Galaxy A15 5G A Series Cell Phone, 128GB Unlocked Android Smartphone, AMOLED Display, Expandable Storage, Knox Security, Super Fast Charging, US Version, 2024, Blue Black",249.98,Not Rated,957 ratings,,Not Available
Motorola G85 5G 12GB 256GB | pOLED 120 Hz | 50MP | 5000mah Battery Unlocked Phone (International Version) - Urban Grey,245.00,Not Rated,111 ratings,Only 1 left in stock - order soon.,100+ bought
C24 | 2024 | All-Day Battery | GSM Unlocked | 5.5” Display | 2/16GB | 2300mAh | US Version | US Warranty | White,39.99,Not Rated,13 ratings,In Stock,1K+ bought
"SAMSUNG Galaxy A25 5G A Series Cell Phone, 128GB Unlocked Android Smartphone, AMOLED Display, Advanced Triple Camera System, Expandable Storage, Stereo Speakers, US Version, 2024, Black",249.98,Not Rated,310 ratings,,Not Available
"Motorola razr | 2023 | Unlocked | Made for US 8/128 | 32MP Camera | Sage Green, 73.95 x 170.82 x 7.35mm",12.99,Not Rated,672 ratings,,Not Available
"OnePlus Nord N30 5G | Unlocked Dual-SIM Android Smart Phone | 6.7"" LCD Display | 8 +128GB | 5000 mAh Battery | 50W Fast Charging | 108MP Camera | Chromatic Gray",199.00,Not Rated,"1,089 ratings",,Not Available
"OnePlus 12,16GB RAM+512GB,Dual-SIM,Unlocked Android Smartphone,Supports 50W Wireless Charging,Latest Mobile Processor,Advanced Hasselblad Camera,5400 mAh Battery,2024,Flowy Emerald",19.99,Not Rated,648 ratings,,Not Available
Motorola Moto G Power 5G | 2023 | Unlocked | Made for US 6/256GB | 50 MPCamera | Mineral Black,199.00,Not Rated,"1,510 ratings",,Not Available
"Huness I24 Ultra Unlocked Phone,Built in Pen The Phone,Smartphone Battery 6800mAh 6.8"" HD Screen,Android 13.0 6+256GB with 128GB Memory Card Cell Phone,5G/Face ID/Fingerprint Lock/GPS (Grey, 6+256)",188.88,Not Rated,14 ratings,In Stock,Not Available
"I24 Ultra 5G Unlocked Phones, Built in Pen, Smartphone Battery 6800mAh 6.8"" HD Screen Unlocked Cell Phone, 6+256GB Android13 with 128G Memory Card, Face ID/Fingerprint Lock/GPS (Black)",188.88,Not Rated,11 ratings,Only 4 left in stock - order soon.,Not Available
"Google Pixel 7 Pro - 5G Android Phone - Unlocked Smartphone with Telephoto/Wide Angle Lens, and 24-Hour Battery - 128GB - Hazel",25.99,Not Rated,"2,957 ratings",,Not Available
